x,y,z,yaw
-56.398712158203125,-34.402889251708984,-36.80501937866211,1.7400909662246704
-56.27294158935547,-34.572078704833984,-36.922569274902344,1.7444185018539429
-56.15126037597656,-34.7315673828125,-37.04093551635742,1.7484822273254395
-56.04457473754883,-34.899349212646484,-37.17509078979492,1.7521919012069702
-55.950836181640625,-35.0692253112793,-37.323326110839844,1.7555121183395386
-55.866859436035156,-35.23130416870117,-37.485355377197266,1.7584258317947388
-55.799827575683594,-35.399940490722656,-37.6608772277832,1.7610266208648682
-55.73162841796875,-35.5549201965332,-37.84413146972656,1.7634943723678589
-55.65968322753906,-35.68886947631836,-38.01727294921875,1.7659140825271606
-55.57631301879883,-35.8116340637207,-38.17490005493164,1.7685141563415527
-55.48500442504883,-35.938941955566406,-38.3348388671875,1.7713099718093872
-55.39680862426758,-36.067447662353516,-38.51180648803711,1.7741628885269165
-55.314048767089844,-36.188011169433594,-38.69619369506836,1.7769020795822144
-55.23167037963867,-36.30500793457031,-38.88607406616211,1.7796732187271118
-55.13935852050781,-36.409584045410156,-39.07004165649414,1.7825605869293213
-55.028846740722656,-36.5030632019043,-39.2459716796875,1.7857271432876587
-54.89159393310547,-36.58152770996094,-39.400657653808594,1.7894254922866821
-54.72822570800781,-36.646183013916016,-39.538909912109375,1.793689489364624
-54.551979064941406,-36.696414947509766,-39.66390609741211,1.79831862449646
-54.36378479003906,-36.74650573730469,-39.775760650634766,1.8032974004745483
-54.167442321777344,-36.791500091552734,-39.88503646850586,1.8085277080535889
-53.96110153198242,-36.829105377197266,-39.982051849365234,1.8140342235565186
-53.74689483642578,-36.87189483642578,-40.07670211791992,1.8199231624603271
-53.522884368896484,-36.909324645996094,-40.170230865478516,1.826107382774353
-53.29798889160156,-36.94895553588867,-40.26318359375,1.8325551748275757
-53.07172775268555,-36.98506164550781,-40.35354995727539,1.839228868484497
-52.84773635864258,-37.02601623535156,-40.442264556884766,1.8461096286773682
-52.627628326416016,-37.06902313232422,-40.543846130371094,1.8532445430755615
-52.42266082763672,-37.11918258666992,-40.64744567871094,1.8604180812835693
-52.23063659667969,-37.180572509765625,-40.76061248779297,1.867648959159851
-52.05454635620117,-37.25129699707031,-40.890716552734375,1.8749104738235474
-51.897605895996094,-37.34204864501953,-41.046669006347656,1.8822013139724731
-51.77505111694336,-37.44987106323242,-41.24295425415039,1.8892121315002441
-51.693668365478516,-37.578067779541016,-41.48065948486328,1.8957552909851074
-51.63785934448242,-37.705657958984375,-41.740875244140625,1.9020180702209473
-51.60514450073242,-37.84551239013672,-42.01889419555664,1.9082579612731934
-51.59002685546875,-37.99061965942383,-42.31686782836914,1.9145526885986328
-51.58587646484375,-38.14675521850586,-42.6298713684082,1.9209874868392944
-51.608299255371094,-38.307918548583984,-42.96257019042969,1.9272723197937012
-51.64920425415039,-38.47434997558594,-43.31166076660156,1.9334676265716553
-51.701744079589844,-38.634761810302734,-43.669429779052734,1.9397035837173462
-51.75849533081055,-38.80017852783203,-44.02570343017578,1.9460062980651855
-51.82206344604492,-38.96991729736328,-44.39349365234375,1.9523242712020874
-51.8913459777832,-39.12653732299805,-44.76312255859375,1.9585753679275513
-51.96565246582031,-39.28923797607422,-45.13727951049805,1.9647060632705688
-52.04905319213867,-39.45737838745117,-45.52008056640625,1.970621943473816
-52.133697509765625,-39.606590270996094,-45.895782470703125,1.9762800931930542
-52.21350860595703,-39.75442123413086,-46.26787567138672,1.9819178581237793
-52.28721237182617,-39.891231536865234,-46.625728607177734,1.987525463104248
-52.3516845703125,-40.01997375488281,-46.977962493896484,1.9931421279907227
-52.42088317871094,-40.141597747802734,-47.33256530761719,1.9985781908035278
-52.49363708496094,-40.2605094909668,-47.68972396850586,2.0037624835968018
-52.57448196411133,-40.37298583984375,-48.056976318359375,2.0086934566497803
-52.66462707519531,-40.47684860229492,-48.426876068115234,2.0132086277008057
-52.76142883300781,-40.566856384277344,-48.79915237426758,2.0174267292022705
-52.86479949951172,-40.65073776245117,-49.17355728149414,2.0213732719421387
-52.98141860961914,-40.721744537353516,-49.56000900268555,2.0249292850494385
-53.111331939697266,-40.78854751586914,-49.95512390136719,2.028006076812744
-53.252197265625,-40.850440979003906,-50.348575592041016,2.030714511871338
-53.40876770019531,-40.91465759277344,-50.7559928894043,2.0330324172973633
-53.56965637207031,-40.988258361816406,-51.18782424926758,2.0352230072021484
-53.722999572753906,-41.04299545288086,-51.626155853271484,2.0375397205352783
-53.87228012084961,-41.07395935058594,-52.06529998779297,2.0400288105010986
-54.00733184814453,-41.092105865478516,-52.47394943237305,2.0428431034088135
-54.1295051574707,-41.09462356567383,-52.87233352661133,2.046083927154541
-44.5675163269043,-36.42770767211914,-52.09938049316406,2.149768590927124
-45.155052185058594,-36.64472579956055,-52.55183410644531,2.1495699882507324
-45.69911193847656,-36.82829666137695,-52.98531723022461,2.1499836444854736
-46.20322036743164,-36.99946594238281,-53.39971923828125,2.1509618759155273
-46.66739273071289,-37.154022216796875,-53.8090934753418,2.1526196002960205
-47.08784103393555,-37.27941131591797,-54.19254684448242,2.155083179473877
-47.46988296508789,-37.39314270019531,-54.571964263916016,2.1583573818206787
-42.87102127075195,-37.062808990478516,-51.81440353393555,2.2111706733703613
-43.44657897949219,-37.161441802978516,-52.34208679199219,2.2133123874664307
-39.05077362060547,-36.844303131103516,-49.69572067260742,2.262263059616089
-34.98303985595703,-35.98416519165039,-47.142982482910156,2.3126137256622314
-29.019412994384766,-33.50841522216797,-44.785430908203125,2.3790130615234375
-25.338319778442383,-33.368309020996094,-42.52120590209961,2.4167730808258057
-26.73564338684082,-33.60508728027344,-43.584228515625,2.413973808288574
-23.170583724975586,-33.459228515625,-41.37944793701172,2.4498064517974854
-21.132394790649414,-32.050777435302734,-39.05928039550781,2.4315884113311768
-19.19578742980957,-30.7153263092041,-36.856170654296875,2.415523052215576
-17.355796813964844,-29.448362350463867,-34.764404296875,2.4014556407928467
